chain_id,name
13093,Panama Jack
13094,Jewel
13138,Hilton Hotels
13143,City Lodge Hotels
13144,Courtyard Hotels
13145,Town Lodges
13146,Fairview Hotel
13147,Road Lodges
13150,Vaya Resorts
13160,Sorea
13161,TMR
13163,BB Hotels
13165,UHG Hospitality
13167,Leisure Hotels Group
13179,The Red Collection
13180,SBE
13182,Aqua-Aston Hospitality
13184,Taua Resorts
13186,Atmosphere
13189,Pytloun
13194,El Mouradi
13200,Castlewood Hotels
13212,Rotamundos
13266,Tribe
13268,Tulip Residences
13269,Mantis
13270,The House Of Originals
13271,Art Series
13272,Mondrian
13273,Delano
13274,SLS
13275,The Redbury
13276,25 hours
13277,Hyde
13289,Radisson Individuals
13293,Commonwealth Hotels
13367,Magic hotels
13369,Collection by Ligula
13370,Motel L by Ligula
13371,Good Morning Hotels by Ligula
13379,MarSenses Hotels
13380,3HB Hotels
13382,Aman Hotels and Resorts
13384,Kavia Hotels
13390,Coral International Hotel Resort & Spas
13391,HMH â Hospitality Management Holding
13392,Lucerna Hotels
13394,GHL Hoteles
13405,HRH Group of Hotels
13437,Bachcare
13442,Go Inn
13443,eSuites
13447,Curamoria Collection
13454,Ballyâs Corporation
13455,Emerald Stay
13459,Royal Sonesta
13461,Life House
13462,Sonesta Hotel & Resorts
13463,Sonesta ES Suites
13464,Sonesta Select
13465,Sonesta Simply Suites
13469,Atlantica Hotels and Resorts
13508,Sonesta International 
13519,Fatima Hotels Group
13527,Registry Collection Hotels
13549,DimHotels
13550,Motto
13552,YourHouse Group
13638,Sonesta Hotels
13640,WorldHotels Crafted Collection
13645,Alt Hotels
13646,TLG
13647,Smy Hotels
13653,Faena
13654,21c Museum Hotels
13667,Ãurea
13668,Test Chain 2021
13669,RIU Plaza
13672,Agni Travel
13673,Ruralidays
13674,Villa Plus
13678,Costa do Sauipe
13679,Rio Quente Resorts
13683,Atwell Suites
13684,QT
13685,Atura
13686,Independent Collection
13694,IOH
13695,Maison Privee
13696,One Shot Hotels
13697,Aureli Hotels
13712,Hotel Seri Malaysia
13721,Ostello Bello
13724,Butcombe Brewing Co.
13725,Liberation Brewing Co.
13730,MORE Lodges & Hotels
13741,B.Zar Hotel&Co.
13742,Lagrange City
13743,Villa for You
13765,Alltra
13767,Oakwood Hotels
13768,ARTOTELGROUP
13769,Vertice hoteles
13771,Vignette Collection
13777,numa
13778,Paradise Wilderness
13779,SleepOver
13783,ISRAEL CANADA HOTELS
13786,hu openair
13787,Sono Hotels & Resorts
13791,Country Hearth Inn
13792,GuestHouse Inn & Suites
13795,Signature Hotels
13796,Crisol
13797,Happy.Rentals
13809,Alua Hotels & Resorts
13810,Breathless Resorts & Spa
13811,Dreams Resorts & Spa
13812,Now Resorts & Spa
13813,Secrets Resorts & Spa
13814,Sunscape Resorts
13815,Zoetry Wellness & Spa Resorts
13824,The Unlimited Collection by Oakwood
13830,Dhawa
13831,Homm
13834,Comfort
13837,limehome
13840,Vert Hotels
13864,Maeva Camping
13865,Maeva Home
13868,Ferretti Hotels Group
13870,Serena Hotels
13871,Maeva SÃ©lection
13872,Virgin Hotels
13895,Prizeotel (Radisson)
13896,MeliÃ¡ Collection
13899,Wish
13900,Prodigy
13901,Linx
13904,Omega Hotel Management
13905,Urbane Room
13906,Nakula Management
13907,Rumah Reservasi Bali
13909,Hamner Holiday Homes
13921,People Hostel
13926,Gruppo UNA
14056,ClÃ©vacances
